Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.08;6;3;0.0008;0.08;1.3;49;0;18;0.53%
0.08;5;3;0.0008;0.08;1;39;0;17;0.53%
0.08;5;3;0.0008;0.08;1;39;0;17;0.43%
0.08;5;3;0.0008;0.08;1;39;0;17;0.53%
0.08;3;1;0.0008;0.08;0.9;44;0;16;0.52%
0.08;3;1;0.0008;0.08;0.9;44;0;16;0.51%
0.08;1;0.000008;0.0008;0.08;0.8;3;0;0.0015;0.48%
0.08;1;0.000008;0.0008;0.08;0.8;3;0;0.0015;0.50%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;0;1;0.52%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;0;1;0.55%
0.08;4;2;0.0008;0.08;1;33;0;12;0.50%
0.08;5;3;0.0008;0.08;1.1;44;0;15;0.41%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.39%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.40%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.41%
0.08;5;3;0.0008;0.08;1;43;0;15;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;0;2;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;0;2;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0015;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0015;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;2;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;2;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.34%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.31%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;1;1;1;0.08;0.08;1;0;1;0.31%
0.08;1;1;1;0.08;0.08;1;0;1;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.34%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.34%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.29%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.26%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0015;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0015;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;5;3;0.0008;0.08;1.15;47;0;16;0.28%
0.08;5;3;0.0008;0.08;1.15;47;0;16;0.27%
0.08;6;3;0.0008;0.08;1.2;47;0;19;0.26%
0.08;6;3;0.0008;0.08;1.2;47;0;19;0.28%
0.08;5;3;0.0008;0.08;1.1;51;0;16;0.28%
0.08;5;3;0.0008;0.08;1.1;51;0;16;0.29%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;1;0.31%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;1;0.30%
0.08;0.0015;1;0.0008;0.08;0.6;0.0155;0;0.0055;0.31%
0.08;0.0015;1;0.0008;0.08;0.6;0.0155;0;0.0055;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.2;5;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.2;5;0;2;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;1;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;1;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.25%
